entry_number,body_type,highway_fuel_economy,horsepower,interior_color,listed_date,listing_color,listing_id,longitude,main_picture_url,,make_name,maximum_seating,mileage,model_name,power,price,sp_name,transmission,transmission_display,trim_name,wheel_system,wheel_system_display,year,age_of_customer
457,SUV / Crossover,25,295,Black,30/07/20,WHITE,277951645,-73.1055,https://static.cargurus.com/images/forsale/2020/09/02/23/00/2017_jeep_grand_cherokee-pic-6794803306524977122-152x114.jpeg,,Jeep,5 seats,46490,Grand Cherokee,"295 hp @ 6,400 RPM",24124,Generation Kia,A,8-Speed Automatic,Laredo 4WD,4WD,Four-Wheel Drive,2017,71
458,Sedan,29,295,Black,03/07/20,SILVER,275722813,-73.1055,https://static.cargurus.com/images/forsale/2020/07/11/22/34/2015_chrysler_200-pic-8219971928076314476-152x114.jpeg,,Chrysler,5 seats,59630,200,"295 hp @ 6,350 RPM",11948,Generation Kia,A,9-Speed Automatic,S Sedan AWD,AWD,All-Wheel Drive,2015,71
459,Pickup Truck,24,308,Jet Black,06/09/20,GRAY,281527433,-73.2587,https://static.cargurus.com/images/forsale/2020/09/07/23/27/2020_chevrolet_colorado-pic-1303940587187203801-152x114.jpeg,,Chevrolet,5 seats,2800,Colorado,"181 hp @ 3,400 RPM",34972,Atlantic Chevrolet Cadillac,A,8-Speed Automatic,Z71 Crew Cab 4WD,4WD,Four-Wheel Drive,2020,34
460,SUV / Crossover,30,180,Black,29/09/19,WHITE,253668232,-72.6545,https://static.cargurus.com/images/forsale/2020/03/20/09/25/2020_jeep_compass-pic-48983317020192102-152x114.jpeg,,Jeep,5 seats,17,Compass,"180 hp @ 6,400 RPM",22065,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Latitude 4WD,4WD,Four-Wheel Drive,2020,74
461,Minivan,24,276,Gray,06/05/20,SILVER,271520209,-73.1055,https://static.cargurus.com/images/forsale/2020/09/05/23/16/2019_kia_sedona-pic-4226043570345994524-152x114.jpeg,,Kia,7 seats,16945,Sedona,"276 hp @ 6,000 RPM",20572,Generation Kia,A,8-Speed Automatic,L FWD,FWD,Front-Wheel Drive,2019,65
462,SUV / Crossover,30,180,Black,28/02/20,SILVER,267198456,-72.6545,https://static.cargurus.com/images/forsale/2020/04/23/18/27/2020_jeep_compass-pic-2273036235175589303-152x114.jpeg,,Jeep,5 seats,19,Compass,"180 hp @ 6,400 RPM",22456,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Latitude 4WD,4WD,Four-Wheel Drive,2020,24
463,SUV / Crossover,32,170,Black (Charcoal),03/09/20,SILVER,281223807,-73.2587,https://static.cargurus.com/images/forsale/2020/09/04/01/03/2015_nissan_rogue-pic-3871001554825778970-152x114.jpeg,,Nissan,7 seats,43014,Rogue,"170 hp @ 6,000 RPM",13939,Atlantic Chevrolet Cadillac,CVT,Continuously Variable Transmission,S AWD,AWD,All-Wheel Drive,2015,35
464,SUV / Crossover,,252,Nougat Brown,21/08/20,BLACK,279891038,-73.8317,https://static.cargurus.com/images/forsale/2020/08/25/23/47/2018_audi_q5-pic-4952960342181109332-152x114.jpeg,,Audi,5 seats,28608,Q5,"252 hp @ 5,000 RPM",35800,Eastchester Chrysler Jeep Dodge Ram,A,7-Speed Automatic,2.0T quattro Premium Plus AWD,AWD,All-Wheel Drive,2018,41
465,Minivan,28,248,Brown (Beige),01/08/20,SILVER,278161010,-72.6545,https://static.cargurus.com/images/forsale/2020/08/26/21/18/2013_honda_odyssey-pic-4110224400857361489-152x114.jpeg,,Honda,8 seats,129592,Odyssey,"248 hp @ 5,700 RPM",12333,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Touring Elite FWD,FWD,Front-Wheel Drive,2013,32
466,SUV / Crossover,23,290,Black,31/08/20,WHITE,280848913,-72.6545,https://static.cargurus.com/images/forsale/2020/09/04/00/16/2012_jeep_grand_cherokee-pic-4314667527310238073-152x114.jpeg,,Jeep,5 seats,112048,Grand Cherokee,"290 hp @ 6,400 RPM",12993,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Laredo 4WD,4WD,Four-Wheel Drive,2012,18
467,Sedan,,450,Red,04/07/20,WHITE,275801627,-73.8317,https://static.cargurus.com/images/forsale/2020/08/26/00/28/2017_audi_s6-pic-1951545701051590091-152x114.jpeg,,Audi,5 seats,36447,S6,,44300,Eastchester Chrysler Jeep Dodge Ram,A,7-Speed Automatic,4.0T quattro Premium Plus Sedan AWD,AWD,All-Wheel Drive,2017,33
468,Sedan,41,203,None,05/09/20,WHITE,281422242,-73.1055,,,Toyota,5 seats,22216,Camry,,20423,Generation Kia,A,8-Speed Automatic,L FWD,FWD,Front-Wheel Drive,2019,63
469,Sedan,38,184,almond,18/06/20,RED,274372932,-73.1055,https://static.cargurus.com/images/forsale/2020/06/26/02/00/2014_mazda_mazda6-pic-7674637729966503539-152x114.jpeg,,Mazda,5 seats,70580,MAZDA6,"184 hp @ 5,700 RPM",12236,Generation Kia,A,6-Speed Automatic,i Grand Touring,FWD,Front-Wheel Drive,2014,52
470,Convertible,25,429,Brown/Beige,04/04/20,BLACK,270161967,-73.1055,https://static.cargurus.com/images/forsale/2020/06/15/19/17/2013_mercedes-benz_sl-class-pic-936899164642238009-152x114.jpeg,,Mercedes-Benz,2 seats,31231,SL-Class,"429 hp @ 5,250 RPM",37937,Generation Kia,A,7-Speed Automatic,SL 550,RWD,Rear-Wheel Drive,2013,65
471,SUV / Crossover,32,170,Black (Charcoal),20/08/20,WHITE,279790185,-72.6545,https://static.cargurus.com/images/forsale/2020/08/26/21/18/2014_nissan_rogue-pic-8039242772722522125-152x114.jpeg,,Nissan,5 seats,110255,Rogue,"170 hp @ 6,000 RPM",10443,Gengras Chrysler Dodge Jeep Ram,CVT,Continuously Variable Transmission,SL AWD,AWD,All-Wheel Drive,2014,44
472,Sedan,33,185,Black,20/08/20,WHITE,279804869,-73.8317,https://static.cargurus.com/images/forsale/2020/08/25/23/47/2019_kia_optima-pic-1029339423719892045-152x114.jpeg,,Kia,5 seats,39201,Optima,"185 hp @ 6,000 RPM",16000,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,LX FWD,FWD,Front-Wheel Drive,2019,55
473,SUV / Crossover,,355,Jet Black,04/09/20,BLACK,281297684,-73.2587,https://static.cargurus.com/images/forsale/2020/09/04/09/05/2019_chevrolet_tahoe-pic-444881422915421717-152x114.jpeg,,Chevrolet,8 seats,38963,Tahoe,"355 hp @ 5,600 RPM",43639,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT 4WD,4WD,Four-Wheel Drive,2019,76
474,Sedan,22,577,Black,15/08/20,GRAY,279420885,-73.1055,https://static.cargurus.com/images/forsale/2020/08/20/02/46/2015_mercedes-benz_e-class-pic-3331081075273194437-152x114.jpeg,,Mercedes-Benz,5 seats,55466,E-Class,"577 hp @ 5,500 RPM",46529,Generation Kia,A,7-Speed Automatic,E AMG 63 S-Model 4MATIC Sedan AWD,AWD,All-Wheel Drive,2015,30
475,Sedan,30,300,Black,12/08/20,BLACK,279080606,-73.8317,https://static.cargurus.com/images/forsale/2020/08/24/18/14/2016_nissan_maxima-pic-2791784489344247035-152x114.jpeg,,Nissan,5 seats,68445,Maxima,"300 hp @ 6,400 RPM",16500,Eastchester Chrysler Jeep Dodge Ram,CVT,Continuously Variable Transmission,SV,FWD,Front-Wheel Drive,2016,33
476,SUV / Crossover,25,310,Jet Black,29/08/20,UNKNOWN,280764816,-73.2587,https://static.cargurus.com/images/forsale/2020/09/01/00/12/2018_chevrolet_traverse-pic-7073257944550472705-152x114.jpeg,,Chevrolet,8 seats,31895,Traverse,"310 hp @ 6,800 RPM",28572,Atlantic Chevrolet Cadillac,A,9-Speed Automatic,LT Cloth AWD,4WD,Four-Wheel Drive,2018,39
