entry_number,body_type,listed_date,main_picture_url,,make_name,maximum_seating,mileage,model_name,power,price,sp_name,transmission,transmission_display,trim_name,wheel_system,wheel_system_display,year,age_of_customer
137,SUV / Crossover,04/09/20,https://static.cargurus.com/images/forsale/2020/09/04/01/43/2020_land_rover_range_rover_sport-pic-4081939059691931665-152x114.jpeg,,Land Rover,5 seats,10,Range Rover Sport,"398 hp @ 5,500 RPM",90430,Land Rover San Juan,A,8-Speed Automatic Overdrive,Hybrid Plug-in HSE 4WD,AWD,All-Wheel Drive,2020,77
138,Hatchback,13/08/20,https://static.cargurus.com/images/forsale/2020/08/15/23/06/2017_chevrolet_cruze-pic-6799630882698755551-152x114.jpeg,,Chevrolet,5 seats,38097,Cruze,"153 hp @ 5,600 RPM",14824,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,Premier Hatchback FWD,FWD,Front-Wheel Drive,2017,44
139,SUV / Crossover,06/12/19,https://static.cargurus.com/images/forsale/2020/07/04/09/52/2020_jaguar_e-pace-pic-1429412579813956114-152x114.jpeg,,Jaguar,5 seats,,E-PACE,"246 hp @ 5,500 RPM",60743,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 SE AWD,AWD,All-Wheel Drive,2020,23
140,Sedan,20/06/19,https://static.cargurus.com/images/forsale/2019/03/09/17/19/2019_mazda_mazda3-pic-5405522620808938421-152x114.jpeg,,Mazda,5 seats,147,MAZDA3,"186 hp @ 6,000 RPM",32195,Flagship Chrysler,A,6-Speed Automatic Overdrive,Premium Sedan FWD,FWD,Front-Wheel Drive,2019,65
141,SUV / Crossover,29/07/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2019_chevrolet_equinox-pic-5274474457985220563-152x114.jpeg,,Chevrolet,5 seats,26818,Equinox,,17439,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,1.5T LT FWD,FWD,Front-Wheel Drive,2019,22
142,SUV / Crossover,05/07/20,https://static.cargurus.com/images/forsale/2020/07/17/23/20/2017_dodge_durango-pic-5527871162556008046-152x114.jpeg,,Dodge,7 seats,65508,Durango,"360 hp @ 5,150 RPM",27200,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Citadel AWD,AWD,All-Wheel Drive,2017,49
143,SUV / Crossover,05/08/20,https://static.cargurus.com/images/forsale/2020/08/19/20/57/2016_jeep_wrangler_unlimited-pic-9185663083093952485-152x114.jpeg,,Jeep,5 seats,45858,Wrangler Unlimited,"285 hp @ 6,400 RPM",29000,Eastchester Chrysler Jeep Dodge Ram,A,5-Speed Automatic,Sahara 4WD,4WD,Four-Wheel Drive,2016,43
144,SUV / Crossover,19/12/19,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_range_rover_evoque-pic-6592045653604634277-152x114.jpeg,,Land Rover,5 seats,8,Range Rover Evoque,"296 hp @ 5,500 RPM",61169,Land Rover San Juan,A,9-Speed Automatic Overdrive,P300 R-Dynamic SE AWD,AWD,All-Wheel Drive,2020,18
145,SUV / Crossover,22/08/20,https://static.cargurus.com/images/forsale/2020/09/05/00/51/2017_chevrolet_traverse-pic-33725445009669387-152x114.jpeg,,Chevrolet,8 seats,59216,Traverse,"281 hp @ 6,300 RPM",19629,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,1LT FWD,FWD,Front-Wheel Drive,2017,48
146,Sedan,29/06/19,https://static.cargurus.com/images/forsale/2019/03/09/17/19/2019_mazda_mazda3-pic-2527906968295894598-152x114.jpeg,,Mazda,5 seats,15,MAZDA3,"186 hp @ 6,000 RPM",32195,Flagship Chrysler,A,6-Speed Automatic Overdrive,Premium Sedan FWD,FWD,Front-Wheel Drive,2019,40
147,Pickup Truck,29/07/20,https://static.cargurus.com/images/forsale/2020/08/20/12/32/2017_chevrolet_silverado_1500-pic-2498368438705646964-152x114.jpeg,,Chevrolet,6 seats,53558,Silverado 1500,"355 hp @ 5,600 RPM",28924,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT Double Cab 4WD,4WD,Four-Wheel Drive,2017,74
148,SUV / Crossover,11/08/20,https://static.cargurus.com/images/forsale/2020/08/23/04/36/2014_jeep_grand_cherokee-pic-2973076163674773073-152x114.jpeg,,Jeep,5 seats,98309,Grand Cherokee,"290 hp @ 6,400 RPM",13600,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,Laredo 4WD,4WD,Four-Wheel Drive,2014,68
149,SUV / Crossover,25/08/20,https://static.cargurus.com/images/forsale/2020/08/25/06/39/2017_dodge_durango-pic-9055154573226204231-152x114.jpeg,,Dodge,7 seats,39245,Durango,"295 hp @ 6,400 RPM",27300,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,GT AWD,AWD,All-Wheel Drive,2017,44
